MSOA11,AbsXSMeanM,AbsXSMedianM,AbsXSL95M,AbsXSU95M,PosteriorProbabilityM,RelXSMeanM,RelXSMedianM,RelXSL95M,RelXSU95M,M40plus,XSrateM,pcIncM,AbsXSMeanF,AbsXSMedianF,AbsXSL95f,AbsXSU95F,PosteriorProbabilityF,RelXSMeanF,RelXSMedianF,RelXSL95F,RelXSU95F,F40plus,XSrateF,pcIncF
E02001334,3.509634019,3.393975501,-0.569904242,8.296909376,0.951525,1.543310194,1.50166958,0.929414294,2.398424995,1156,303.6015587,54.33101941,2.981519849,2.779001274,-1.921958489,8.948494901,0.864825,1.382532121,1.332828385,0.808103862,2.240857395,1448,205.9060669,38.25321213
E02001335,4.331469564,4.235981551,-0.896880399,10.12877979,0.9484,1.518650012,1.486048041,0.91713125,2.319167908,1903,227.6126939,51.86500122,0.030194327,-0.05287148,-4.41905533,4.90792137,0.4907,1.028640238,0.993961161,0.589472808,1.67176179,2210,1.366259124,2.864023795
E02001336,5.178948508,5.044948997,0.035073832,11.15608816,0.975625,1.622366437,1.581746439,1.003517628,2.464896544,1450,357.1688626,62.23664369,5.343814523,5.153133665,-0.424413557,12.21633756,0.963275,1.617379255,1.569027995,0.960439922,2.547323108,1805,296.0562062,61.73792551
E02001337,3.556811016,3.424150692,-0.149341845,8.012435393,0.969875,1.604121542,1.556008914,0.979765256,2.500330891,1335,266.4277914,60.41215423,4.111123889,3.949005419,-1.050826199,10.0909664,0.93825,1.561097556,1.510490865,0.889690231,2.517442312,1612,255.0324993,56.1097556
E02001338,5.220161269,5.034801087,0.081730544,11.36985337,0.976975,1.621156587,1.571550412,1.008280918,2.502862397,1250,417.6129016,62.1156587,6.25558233,6.074078043,-0.249320773,13.78611884,0.9703,1.721637759,1.669567924,0.977451024,2.763870294,1570,398.4447344,72.16377588
E02001339,1.646919491,1.57987324,-2.640251059,6.44220861,0.7624,1.215070849,1.186576745,0.74216266,1.860851943,1447,113.8161362,21.50708486,1.458067291,1.312553367,-2.573997916,6.310977548,0.73305,1.249761745,1.191514975,0.694337279,2.135557905,1702,85.66787842,24.97617445
E02001340,7.366191359,7.132279734,0.508303743,15.644255,0.983225,1.599739285,1.56171921,1.034360354,2.380616834,2223,331.3626342,59.97392854,7.057779713,6.833454883,0.19850467,15.20356267,0.978775,1.729055034,1.683373829,1.016667361,2.707521414,2659,265.4298501,72.90550337
E02001341,3.257866241,3.122208998,-1.445243813,8.753291292,0.9062,1.392731258,1.352947045,0.860901647,2.153592126,1630,199.8690946,39.27312585,6.131259071,5.877194736,0.634691597,13.11358913,0.98705,1.777272081,1.712815934,1.066347928,2.860905634,2019,303.6780124,77.72720809
E02001342,6.176535728,6.010203036,-0.100257694,13.43830007,0.97245,1.521628451,1.492344099,0.992771365,2.224317037,1945,317.5596775,52.16284508,15.86032443,15.53678262,4.831162255,28.76690185,0.999125,1.984355988,1.94031298,1.250039697,2.965957395,2318,684.2245225,98.43559882
E02001343,0.1397217,0.053006236,-3.972473119,4.811699211,0.510275,1.032652117,1.0054927,0.650641453,1.574865168,1980,7.056651518,3.265211653,-0.235153678,-0.326294916,-4.04498675,3.941338119,0.433025,0.992086175,0.957500244,0.574870011,1.602613618,2220,-10.59250803,-0.791382541
E02001344,4.958802357,4.826292923,0.387689697,10.35263149,0.984375,1.653165203,1.615143727,1.042196352,2.489442809,1311,378.2457938,65.3165203,3.236396252,3.037033369,-2.567180255,10.10169067,0.850825,1.372457649,1.313215192,0.78401858,2.302899537,1575,205.4854763,37.24576492
E02001345,0.639114562,0.564108578,-2.814853939,4.547486964,0.621825,1.117949466,1.082555715,0.661689868,1.776898356,1448,44.13774603,11.79494657,-1.254436331,-1.32302176,-4.301783605,2.196263967,0.2166,0.837303142,0.804935208,0.475912686,1.376650938,1646,-76.21119874,-16.26968577
